P(1) N(0) UNKNOWN(2),
0,BREAKING: China has lodged a protest with the US over Trump's call with Taiwan's president
0,China protests Trump call to Taiwan leader https://t.co/YcYzY6PEXA
,
0,Trump's Phone Call With Taiwan President Sparks China Complaint - Wall Street Journal https://t.co/QxS2UjlQTY https://t.co/RhLLNpDHV3
1,RT @thehill: GOP lawmakers praise Trump for Taiwan call https://t.co/MZ6b2ZXCdf https://t.co/pvhh2VS5wm
1,"I'm as glad as anyone to have a chance to mock Trump. But seriously, Taiwan should be a recognized independent country as "
0,"Trump's phone call with Taiwan raises conflict of interest questions, the @nytimes reports: https://t.co/QZOKnqOFUb htt??o"
0,Shorter: Rocket Scientist-In-Chief Trump gets played like a fiddle by President of #Taiwan.
,
2,#TrumpTaiwan  https://t.co/rt??t
0,How will China respond? Donald Trump breaks longstanding US policy not to speak to Taiwan directly. Trump is certainly shak
2,Live footage from the State Department in wake of Trump Taiwan call https://t.co/DWRx8vRDoj
0,"Trump's phone call with Taiwan raises conflict of interest questions, the @nytimes reports: https://t.co/QZOKnqOFUb"
0,China lodges complaint over Trump-Taiwan call @CNNPolitics https://t.co/KQjNGoOPm2
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/5MHutWqMJc
0,What precipitated the deeply destructive rogue call to Taiwan? More than likely it was Michael Flynn whispering in Trump
0,This extract from my book Easternisation gives a flavour of why Trump's Taiwan phone call is so potentially dangerous
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/rs3pzcOY7G
2,[checks Twitter history to learn Trump's apparently massively important policy stance on Taiwan] https://t.co/tJ7mAVSLOe
2,"So, Trump spoke to the president of Taiwan."
,
0,Trumps wants to build hotel and resorts in Taiwan. Does anyone see a CONFLICT???
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
,
1,"Hoaxing media says Trump isn't allowed to talk to Taiwan, but Obama can sell them $1.83 billion worth of weapons? - https://t.co/8h9W8rukVu"
1,Trump: Wouldn't it be great if we got along w/ Taiwan?
,
1,"Aide: Sir, the banks in China might be unhappy about this Trump:??"
2,Idiotic issue. President Tsai Ing-wen CALLED Trump; he didn't call her. Trump-Taiwan call: China lodges protest. https://t.co/??n
1,"RT @SteveSGoddard: The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected"
1,Obama will not release info to congress on refugees deal and y'all worried about a congratulatory call from our ally Taiwan
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
0,Story is not: Trump broke diplomatic norms by calling Taiwan.
,
2,Story is his motives are suspect. He's seeking to expand his??a Interesting perspective on how to interpret the Trump-Taiwan news. https://t.co/uZfuL86FMg
0,China just lodged its first diplomatic protest against Donald Trump https://t.co/AjyapJIcrG https://t.co/Ibon6P8Vwt
2,"Trump's phone call to Taiwan signals a break from Obama's, Clinton's, and both Bushes' China coddling. About time."
0,"Pakistan, Taiwan, The Philippines:  I feel like I'm watching a SNL skit of Donald Trump playing himself.  Except it's dang"
2,Wondering why Trump made the call to Taiwan?
,
0,No conflict of interest. Just risking escalation with China for his own busines??N
0,China has lodged ??solemn representations??with the U.S. over Trump??s phone call with Taiwan https://t.co/TtvIAVhDDNdang??
0,"Trump speaks with Taiwan??s leader, seen as an affront to China https://t.co/poLoHnqmwK https://t.co/r6b7rvW1N3vI"
0,"After provoking China and titillating Taiwan, we are mere hours from Trump announcing ""We've always been at war with Ea??n"
,
0,China blasts ??petty????Taiwan call with Trump https://t.co/500ZMtlVo0e are
0,CNN reporting China has already contacted the White House over Trump??s call with Taiwan pres https://t.co/4Itscs8Eq1wi
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiwan
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB jus??n
1,"Trump talks to Taiwan and people lose their mind. Obama sells Taiwan weapons worth $1.8 billion in 2015, and no one sa??n"
0,#Trump's phone call with #Taiwan President sparks #China complaint https://t.co/GIWXGBc1X3ll
0,"Trump says Taiwan leader called him, though Taiwan paper says Trump staffer arranged call https://t.co/KDodpjJcoX https://t.co??n"
0,"In September, the Trump Org sent someone to Taiwan inquiring about a possible development near Taiwan's airport https://t.??n"
2,"So, Trump spoke to the president of Taiwan."
,
0,Trumps wants to build hotel and resorts in Taiwan. Does anyone see a CONFLICT???n
0,Trump  #Taiwan.  This is an example of winging it in the extreme.  Hope Trump doesn't feel he has to double down on this??i
,
0,China hopes Trump call with Taiwan leader won't damage ties https://t.co/az8FXR0RXx
0,China has made a formal complaint to the US over Donald Trump's call with Taiwan https://t.co/64eU35xFlI https://t.co/KR4Rf??i
1,"US sells weapons, but I can't get a call? Trump baffled about outrage over his Taiwan phone call https://t.co/9odRrnf3h5"
0,China protests at Trump-Taiwan call https://t.co/BOx2yXE4Os
0,Obama/Cuba Trump/Taiwan false equivalency is off the rails. A bunch of clueless reckless Americans elected a clueless rec??i
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/nqKTBVr3eK
,
0,"China angry over Trump's phone call to Taiwan  Read More... https://t.co/IhggmVe0IL Globalists,some Middle Eastern,wanted the U.S. to fight Russia. Won't happen. Now they want the U.S. to fight China. Trump-Taiwan"
1,IF Trump-Taiwan hadn't accepted the congratulatory phone call #BiasedMedia #Liberals would be calling him a sexist. 
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB jus??i
2,LIVE on #Periscope: Taiwan Look What The Trump Call Did #taiwan #trump https://t.co/8oRFafzzNd
0,"Holy cow, what a garbage fire and he hasn't even assumed office yet."
0,China lodges complaint with US over Trump's Taiwan phone call https://t.co/BEew6CX0tb
0,Trump should fire off a tweet claiming he got drunk and played 5 hours of Grand Theft Auto with the Taiwan president.
0,"""It's vital for US relations with China you don't ring Taiwan"" Trump: [rings Taiwan] It's vital you don't hit that b??r"
0,China protests at Trump-Taiwan call https://t.co/BOx2yXE4Os
2,[checks Twitter history to learn Trump's apparently massively important policy stance on Taiwan] https://t.co/tJ7mAVSLOe
0,Obama breaks w/decades of US policy on Cuba gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
0,#TrumpLeaks #TrumpTransition LEAVE THE PRESIDENT ALONE LET HIM MA??  I saw this on the BBC and thought you should see it: Trump-Taiwan call: China lodges protest - https://t.co/7OlCdnKWPu
0,"Trump speaks with Taiwan's leader, seen as an affront to China https://t.co/poLoHnqmwK https://t.co/r6b7rvW1N3 p"
1,IF Trump-Taiwan hadn't accepted the congratulatory phone call #BiasedMedia #Liberals would be calling him a sexist. 
0,Between Pakistan And now Taiwan Trump has only disrespect for the protocol of our country He's dangerous &amp; putting us ALL??t
0,China lodges complaint over Trump-Taiwan call: https://t.co/qYu4R8upMe
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
0,CNN reporting China has already contacted the White House over Trump's call with Taiwan pres https://t.co/4Itscs8Eq1in
0,Can you believe this crap?  This is how wars start! Trump managed to offend half the world in 24 hours! #Taiwan 
0,China lodges protest after Trump call with Taiwan president https://t.co/OnCrX391Ak via @Reuters
0,"Trump's phone call with Taiwan raises conflict of interest questions, the @nytimes reports: https://t.co/QZOKnqOFUb htt??o"
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB jus??n
0,Trump CAUGHT Trying To Build Resort In Taiwan MOMENTS After Speaking To President?(DETAILS) https://t.co/3wDl1uZNyH http??n?
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/rs3pzcOY7G
0,wo weeks ago: Trump wants to expand business to Taiwan
0,Trump breaks 37 yrs of foreign policy by talking w/ Taiwa??o
0,Donald Trump speaks directly with Taiwan's president - breaking with US policy set in 1979 when ties were cut https://t.co??n
,
0,"Donald Trump fell for a ??little trick??performed by Taiwan, China says https://t.co/9E6lW4gXlT via @qz 197"
0,Russia Taiwan have a respectable relationship with trade deals. Since Trump is Putin puppet he's being used to advance th??i
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
1,Smart take on the impact of Trump's phone call with the President of Taiwan. This really matters. https://t.co/JvY5u5ui??n
0,"This Taiwan/PRC phone call thing, combined with these new Trump developments in Taipei is beyond insane. This is playing with???"
,
0,China lodges protest after Trump call with Taiwan president | Reuters https://t.co/2gwGp0cZxO #ForeignNONpolicy @RealDonaldTrump
1,"Trump-Taiwan call ""breaks four decades of US policy"". Where has the last four decades gotten us, again? https://t.co/PmSuDj??n"
0,"To predict Trump foreign policy, best to first look to where he's doing Trump Org business. Taiwan Trump hotel. Sudden ne??n"
0,President-elect Trump should've invited Taiwan's leader to do The Tango. The media loves Presidential Tangos.
1,"#Taiwan. Having smashed the crockery of political convention during the election, Trump's just broken the Ming vase of US dip??n"
,
0,"Here's why the president can't just call Taiwan. https://t.co/HtyQlsvgiU by #JessicaScott09 via @c0nvey I feel like maybe the Trump-Taiwan-China thing is a bi-*dies in nuclear war* I think an American president more aggressively supporting Taiwan would be a very good thing, but that's not what Trump did, or is doing. @owillis Trump has now worried India by saying he'd visit Pakistan,invited Duterte to DC, angered China by speaking w Taiwan pres. In 48hrs!"
1,"Obama SOLD 1.8 billion in WEAPONS to Taiwan, But Trump takes call from their President &amp; now we are at war. LOL! Libs R p??i"
0,"This Taiwan/PRC phone call thing, combined with these new Trump developments in Taipei is beyond insane. This is playing with??R"
1,"The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l?? "
1,Obama borrows $500 billion from China in 8 years. Media is silent
,
1,Trump takes a phone call from Taiwan &amp; gets accused o?? 
0,Trump irks China by speaking directly with Taiwan??s leader | @AP https://t.co/3ujNDvcJTW T
0,How do we know that the Trump overtures towards Taiwan and the Phillipines aren't motivated by personal commercial inter?? 
0,How do we know that the Trump overtures towards Taiwan and the Phillipines aren't motivated by personal commercial inter?? 
0,Of course - Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/QU8wCiTFyX
,
0,Trump-Taiwan call: China lodges protest - BBC News https://t.co/U0aezI9uuR
0,Trump??s phone call with Taiwan president sparks China complaint https://t.co/9WN6j1vhslFy
,
0,Trump risks China rift with Taiwan call https://t.co/ouiCH9cbUS via @msnbc
,
1,Unprecedent Trump-Taiwan Call Was No Surprise: Official https://t.co/61QrSHn9Yv
0,Has controversial call between President-elect Trump Taiwan's President overturned decades of diplomatic protocol? China lodges protest after Trump call with Taiwan president https://t.co/tdmvphARI9 https://t.co/xtlGrK0Tz4
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiwan
,
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/HlBXmVP2OD
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan???
,
0,"Trump Speaks With Taiwan's Leader, an Affront to China https://t.co/PemoOYHc7Ses"
,
0,Bull in a China shop: Trump risks diplomatic blowup in Asia - POLITICO https://t.co/Hs3BE79Czo
1,"OBAMA: Please don't call Taiwan again, we have a strict policy TRUMP: But what if Taiwanna O: What T: Taiwanna call them O: I??w   Donald Trump's Call With Taiwan President Was No Surprise: Official https://t.co/IoQHdEhi8Q https://t.co/PjleuVyJG0"
0,"China's foreign minister hopes US relations won't be ""interfered with or damaged"" after Trump speaks with Taiwan leader."
1,"MSM: ""@realDonaldTrump caused a diplomatic crisis w/ China over Taiwan"" China: No he didn't MSM: Damn"
1,Taiwan says contact with Trump agreed ahead of time-presidential office https://t.co/Z4Xy7UybCb https://t.co/ZXN9OkY9mW
0,"The scariest thing about Trump-Taiwan, Duerte, Pakistan is that there is CLEARLY NO ADULT IN THE ROOM preserving world sa??n #NAME? China lodges protest after Trump call with Taiwan president https://t.co/lQphQ0tHHw"
0,Trump Organization has been fishing for biz deals in Taiwan but I'm sure that wasn't the reason PEOTUS called https://t.co/n??n
0,Media freakout over Trump taking call from Taiwan leads to one hilarious tweet https://t.co/d07kJ511xn  via @BizPacReview http??n
0,"Donald Trump spoke by telephone with Taiwan??s leader, which could lead to a major rift with China https://t.co/vPNhpVmytu h"
0,Two weeks ago: Trump wants to expand business to Taiwan Today: Trump breaks 37 yrs of foreign policy by talking w/ Taiwa??o
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/nqKTBVr3eK
1,"Trump repairs relations w/more than Taiwan. Duterte felt rapport with Trump, assures U.S.-Philippines ties intact"
0,Bully in a nuclear china shop????? ??Donald Trump breaks with U.S. foreign policy on Taiwan call??ssures https://t.co/nfFDBH6S8K
0," Taiwan call shows the Trump transition team is a ""Band of Bumblers""  Now they are scrambling to hide the Taiwan hotel???"
0,"Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE Further, Trump has been in talks to build hotels/resorts in Taiwan. No doubt he wants to curry favor there. His act??https://t.co/FJGcTZknUw?n"
1,It's OK for Obama to give 500 billion dollars to Iran but Trump accepts a congratulatory call from Taiwan and the libs??n
-,Live footage from the State Department in wake of Trump Taiwan call https://t.co/DWRx8vRDoj
1,"Obama should have taken her call. Trudeau should have taken her call. Trump did, so it's wrong? To hell with Beijing https??n"
,
0,Trump's Phone Call With Taiwan President Sparks China Complaint - Wall Street Journal https://t.co/x6U43fADus #RT #News
,
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on??https://t.co/1Ewfrs1s3m??
,
0,Trump\'s Taiwan Call Breaks With U.S. Policy https://t.co/fqgChcm7Fj
1,Obama made a $1.8 billion arms deal with Taiwan &amp; media doesn't care. Trump had a phone with Taiwan &amp; he destroyed relatio??e
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/rs3pzcOY7G
,
0,Here's the issue of the moment! Trump's Phone Call With Taiwan President Sparks China Complaint - Wall Street Journal
,
0,@realDonaldTrump nice try!  Can't tweet your way out of this epic fail #trump-Taiwan
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan??t
0,"Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??n"
1,It's OK for Obama to give 500 billion dollars to Iran but Trump accepts a congratulatory call from Taiwan and the libs??n
1,"Obama Administration Sold Weapons To Taiwan, But Trump Can't Accept A Congratulatory Phone Call From Them?"
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan??t
0,Story is not: Trump broke diplomatic norms by calling Taiwan.
,
0,"Story is his motives are suspect. He's seeking to expand his??a China blames Taiwan for president's 'petty' phone call with Trump, lodges protest Reckless and stupid. https://t.co/N7dUZ6U23C"
1,"Tweets like this mean Trump was serious when he said he will tough on China (China doesn't recognize Taiwan as a soverei??n So, why can't you call Taiwan? https://t.co/rGsjGfBK1h"
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan??t
0,Story is not: Trump broke diplomatic norms by calling Taiwan.
,
0,"Story is his motives are suspect. He's seeking to expand his??a Yeah, no conflict of interest here ???? https://t.co/EvkIFBykDWall"
1,"The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??n"
0,Story is not: Trump broke diplomatic norms by calling Taiwan.
,
0,Story is his motives are suspect. He's seeking to expand his??a
1,"Hoaxing media says Trump isn't allowed to talk to Taiwan, but Obama can sell them $1.83 billion worth of weapons?"
1,"If you expect me to be upset that Trump is treating Taiwan as a free state while angering an enormous communist tyranny, um??n"
2,"Trump, Taiwan and China: Why one phone call matters so much https://t.co/sps19IraTz"
1,Obama borrows $500 billion from China in 8 years. Media is silent Trump takes a phone call from Taiwan gets accused o?? 
0,"Trump Org: ""we are not planning any expansion into Taiwan."" How abt this? Great find... https://t.co/4gfgolex7Q by #jpublik??n"
0,I'm sure that suburban Trump supporters are going to be upset that he's trolling the Chinese Communist Party. #taiwan
0,"Trump Org: ""we are not planning any expansion into Taiwan."" How abt this? Great find @mega2e https://t.co/zBLAHLeJmz htt??n"
1,"The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??n"
0,Between Pakistan And now Taiwan Trump has only disrespect for the protocol of our country He's dangerous &amp; putting us ALL??t
,
0,#BREAKINGNEWSNOW:(DEVELOPING)Beijing has contacted US over Trump Taiwan call: foreign ministry (via @AFP) #ImpactYourWorld
1,"""It's vital for US relations with China you don't ring Taiwan"" Trump: [rings Taiwan] It's vital you don't hit that b??r"
0,Trump hasn't consulted State Dept prior to calls with world leaders. Probably also the case with Taiwan... https://t.co/8??n
0,Trump should fire off a tweet claiming he got drunk and played 5 hours of Grand Theft Auto with the Taiwan president.
1,I have no fucking CLUE what Trump's intentions are re: Taiwan but what I do know is China doesn't run our State Depart??n
1,MSM says Trump can't talk to the leader of Taiwan but Hillary can accept millions of dollars from countries that enslave wome??n
0,China lodges complaint with US over Trump's Taiwan phone call https://t.co/BEew6CX0tb
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan
1,"Media GOES HYSTERICAL Over Phone Call From Taiwan, Forgets Obama Sold Taiwan Billions In Weapons https://t.co/irLoTjK8EL vi??n"
,
0,China lodges protest after Trump call with Taiwan president: https://t.co/GTasEC32kb via @AOL A phone call changes the world. https://t.co/brmCrD4SyH
0,Con-man Trump already on the verge disaster: No thought given to U.S. policy as long as he can get a hotel in Taiwan
1,"Obama Administration Sold Weapons To Taiwan, But Trump Can't Accept A Congratulatory Phone Call From Them?"
0,obama walks into the state department after trump gets off the phone with taiwan https://t.co/JB07oskgSF
0,"Guys it's not a big deal, what is absolutely TYRANNICAL is the phone call Trump received from Taiwan. China isn't going"
0,"Donald Trump spoke by telephone with Taiwan??s leader, which could lead to a major rift with China https://t.co/vPNhpVmytu g"
0,@realDonaldTrump are you really THAT much of a stupid mothers cunt? https://t.co/uIfbrjvpib
0,It's fascinating to me that Trump made it through a 18-month presidential campaign without once getting a serious question
0,Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
1,Trump: Taiwan Media: China is gonna blow a gasket! China: Please don't do that again. Media: ... be furious!  China: Meh Public: W??b
0,"BEIJING (AP) ??China's foreign minister hopes US relations won't be ""interfered with or damaged"" after Trump speaks with T??n??"
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,"China's foreign minister hopes US relations won't be ""interfered with or damaged"" after Trump speaks with Taiwan leader."
0,"China lodges complaint over @realDonaldTrump-Taiwan call ""Trump was 'winging it"" with Taiwan call""  https://t.co/g2antuLmQ9??n"
1,Corrupt MSM says President-Elect Trump is not allowed to speak w/ Taiwan because Communist China says so. China does NOT tell??n
0,Why did he take call? Trump is considering building luxury resorts in Taiwan. A Trump representative visited Taoyuan in Sep??n
0,"@davidaxelrod @mariomartinv @realDonaldTrump trump knows exactly what he's doing! He's eyeing Taiwan to built hotels, etc..."
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/kWmIbzL2sS j9
1,Trump talked on the phone to Taiwan Obama sold billions in arms deals to Taiwan Who's Beijing upset with? https://t.co/??a
0,"Chinese foreign minister calls phone call between Taiwan's president and Trump ""just a small trick by Taiwan"" https://t.co/??n"
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan??t
0,Obama breaks w/decades of US policy on Cuba &amp; gets endless fawning coverage. Trump breaks w/US policy by phoning Taiwan??t
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiw??n
1,"I was at a conference of Taiwan experts &amp; officials today and we all agreed on the almost total lack of ""tensions"". [pre-??i"
1,IF Trump-Taiwan hadn't accepted the congratulatory phone call #BiasedMedia #Liberals would be calling him a sexist. https:??a
0,"Trump Org: ""we are not planning any expansion into Taiwan."" How abt this? Great find @mega2e https://t.co/zBLAHLeJmz htt??e fox news Saturday get it right. it's either 1000 jobs or 1100. either president elect Trump received a call or made a call to Taiwan. bad!"
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/nqKTBVr3eK
,
0,@FurForceFive proven help Russia and ties to  oil/gas aka ExxonMobil Taiwan hotels foreign govs booking Trump props he gets bids. #StopTrump
0,"President-elect Trump spoke directly with the president of Taiwan, a move that drew an irritated response from China https://t.co/GQ1mwYMbqQ"
0,What precipitated the deeply destructive rogue call to Taiwan? More than likely it was Michael Flynn whispering in Trump'??e
1,MSM says Trump can't talk to the leader of Taiwan but Hillary can accept millions of dollars from countries that enslave wome??e
0,Can you believe Donald Trump took a call from Taiwan without having them donate to his private foundation first?
0,This ????????? is ?????????exactly????????? why ????????? someone ?????????with?????????no?????????experience?????????should?????????not?????????have?????????been?????????elected?????????President????????? #Trump #Taiwan #?? Trump's ???????ignorance?€????? of foreign policy ????Taiwan???? Doesn't he have people versed in Geopolitics? ????December 1???? 2016??https://t.co/f0EyJXgCYSected?????????President?????
1,Well done #US Pres #DonaldTrump! #China lodges complaint over Trump-Taiwan call https://t.co/LNBryZwRd6 #Tibet #EU #UK #AUS??f
1,Taiwan says contact with Trump agreed ahead of time-presidential office https://t.co/Z4Xy7UybCb https://t.co/ZXN9OkY9mW
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,Trump??s phone call with Taiwan president sparks China complaint https://t.co/9WN6j1vhsl/t
0,RT @guardianworld: China lodges complaint with US over Trump's Taiwan phone call https://t.co/Venayg7eNz
,
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/d5zU6MJ9bY
1,So do this mean all the media outlets reporting that Trump called Taiwan are putting out fake news? @CNN ????dWy
1,Obama made a $1.8 billion arms deal with Taiwan &amp; media doesn't care. Trump had a phone with Taiwan &amp; he destroyed relatio??Y
0,"China's FM,Wang Yi, downplayed call between Taiwan's pres &amp; Trump: it was ""a small trick by Taiwan"" &amp; wouldn't change US polic??Y"
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/8QpoMC6cIl #World #Peace https://t.co/tcFzYQPJnE
1,"MSM continues to lie lie lie. Taiwan called Trump, He didn't call Taiwan."
1,Trump-Taiwan call: China lodges protest. Protest all they want. The call came from Taiwan! Good for him  https://t.co/9TbtXlICgx
0,#TrumpCalls: difficult to guess his intensions: https://t.co/uT2OyCzOvc
,
0,#Google #News Trump's Phone Call With Taiwan President Sparks China Complaint - Wall Street Journal https://t.co/AxCdEyDiRc
1,It's OK for Obama to give 500 billion dollars to Iran but Trump accepts a congratulatory call from Taiwan and the libs?? 
0,Taiwanese press that Trump and his children are in talks to build a series of luxury resorts and hotels in Taiwan. https:?? 
